State,Metric,Year,Value
Louisiana,Forest Coverage Percentage,2023,48.8
Mississippi,Corn Production,2023,12345
Mississippi,Farmland Percentage,2023,37.4
Mississippi,Renewable Energy Percentage,2023,2.1
Mississippi,Forest Coverage Percentage,2023,65.4
Oklahoma,Corn Production,2023,45678
Oklahoma,Farmland Percentage,2023,78.4
Oklahoma,Renewable Energy Percentage,2023,35.7
Oklahoma,Forest Coverage Percentage,2023,24.6
Maryland,Corn Production,2023,56789
Maryland,Farmland Percentage,2023,33.2
Maryland,Renewable Energy Percentage,2023,9.8
Maryland,Forest Coverage Percentage,2023,38.8
Delaware,Corn Production,2023,23456
Delaware,Farmland Percentage,2023,41.2
Delaware,Renewable Energy Percentage,2023,4.9
Delaware,Forest Coverage Percentage,2023,31.8
New Jersey,Corn Production,2023,12345
New Jersey,Farmland Percentage,2023,15.4
New Jersey,Renewable Energy Percentage,2023,5.6
New Jersey,Forest Coverage Percentage,2023,41.8
Connecticut,Corn Production,2023,4567
Connecticut,Farmland Percentage,2023,11.2
Connecticut,Renewable Energy Percentage,2023,8.1
Connecticut,Forest Coverage Percentage,2023,59.0
Rhode Island,Corn Production,2023,123
Rhode Island,Farmland Percentage,2023,3.7
Rhode Island,Renewable Energy Percentage,2023,11.2
Rhode Island,Forest Coverage Percentage,2023,54.5
Massachusetts,Corn Production,2023,2345
Massachusetts,Farmland Percentage,2023,11.2
Massachusetts,Renewable Energy Percentage,2023,14.8
Massachusetts,Forest Coverage Percentage,2023,62.2
Vermont,Corn Production,2023,6789
Vermont,Farmland Percentage,2023,19.4
Vermont,Renewable Energy Percentage,2023,99.9
Vermont,Forest Coverage Percentage,2023,78.2
New Hampshire,Corn Production,2023,1234
New Hampshire,Farmland Percentage,2023,8.4
New Hampshire,Renewable Energy Percentage,2023,17.8
New Hampshire,Forest Coverage Percentage,2023,84.0
Maine,Corn Production,2023,5678
Maine,Farmland Percentage,2023,7.8
Maine,Renewable Energy Percentage,2023,78.4
Maine,Forest Coverage Percentage,2023,89.1
Washington,Corn Production,2023,23456
Washington,Farmland Percentage,2023,40.2
Washington,Renewable Energy Percentage,2023,74.2
Washington,Forest Coverage Percentage,2023,52.8
Oregon,Corn Production,2023,12345
Oregon,Farmland Percentage,2023,46.8
Oregon,Renewable Energy Percentage,2023,56.8
Oregon,Forest Coverage Percentage,2023,48.4
Idaho,Corn Production,2023,34567
Idaho,Farmland Percentage,2023,52.1
Idaho,Renewable Energy Percentage,2023,78.9
Idaho,Forest Coverage Percentage,2023,38.2
Montana,Corn Production,2023,45678
Montana,Farmland Percentage,2023,68.4
Montana,Renewable Energy Percentage,2023,44.1
Montana,Forest Coverage Percentage,2023,25.9
Wyoming,Corn Production,2023,12345
Wyoming,Farmland Percentage,2023,52.8
Wyoming,Renewable Energy Percentage,2023,13.4
Wyoming,Forest Coverage Percentage,2023,17.4
Utah,Corn Production,2023,6789
Utah,Farmland Percentage,2023,11.2
Utah,Renewable Energy Percentage,2023,22.8
Utah,Forest Coverage Percentage,2023,18.5
Nevada,Corn Production,2023,1234
Nevada,Farmland Percentage,2023,2.1
Nevada,Renewable Energy Percentage,2023,23.4
Nevada,Forest Coverage Percentage,2023,10.1
Arizona,Corn Production,2023,5678
Arizona,Farmland Percentage,2023,3.2
Arizona,Renewable Energy Percentage,2023,11.8
Arizona,Forest Coverage Percentage,2023,15.0
New Mexico,Corn Production,2023,7890
New Mexico,Farmland Percentage,2023,43.2
New Mexico,Renewable Energy Percentage,2023,23.1
New Mexico,Forest Coverage Percentage,2023,24.5
Alaska,Corn Production,2023,0
Alaska,Farmland Percentage,2023,0.1
Alaska,Renewable Energy Percentage,2023,23.4
Alaska,Forest Coverage Percentage,2023,28.8
Hawaii,Corn Production,2023,890
Hawaii,Farmland Percentage,2023,19.2
Hawaii,Renewable Energy Percentage,2023,28.1
Hawaii,Forest Coverage Percentage,2023,46.7
West Virginia,Corn Production,2023,3456
West Virginia,Farmland Percentage,2023,20.8
West Virginia,Renewable Energy Percentage,2023,7.2
West Virginia,Forest Coverage Percentage,2023,78.1 
