State,Metric,Year,Value
Mississippi,Property Tax Rate,2023,0.81
Tennessee,Voter Turnout,2022,50.6
Tennessee,State Income Tax Rate,2023,0.0
Tennessee,Government Employment Rate,2023,14.1
Tennessee,Property Tax Rate,2023,0.64
Kentucky,Voter Turnout,2022,48.7
Kentucky,State Income Tax Rate,2023,5.0
Kentucky,Government Employment Rate,2023,16.2
Kentucky,Property Tax Rate,2023,0.86
Illinois,Voter Turnout,2022,54.9
Illinois,State Income Tax Rate,2023,4.95
Illinois,Government Employment Rate,2023,13.8
Illinois,Property Tax Rate,2023,2.16
Indiana,Voter Turnout,2022,47.2
Indiana,State Income Tax Rate,2023,3.23
Indiana,Government Employment Rate,2023,13.9
Indiana,Property Tax Rate,2023,0.87
Ohio,Voter Turnout,2022,51.3
Ohio,State Income Tax Rate,2023,3.99
Ohio,Government Employment Rate,2023,13.2
Ohio,Property Tax Rate,2023,1.56
Michigan,Voter Turnout,2022,54.8
Michigan,State Income Tax Rate,2023,4.25
Michigan,Government Employment Rate,2023,13.1
Michigan,Property Tax Rate,2023,1.54
Pennsylvania,Voter Turnout,2022,53.4
Pennsylvania,State Income Tax Rate,2023,3.07
Pennsylvania,Government Employment Rate,2023,12.8
Pennsylvania,Property Tax Rate,2023,1.58
New Jersey,Voter Turnout,2022,48.7
New Jersey,State Income Tax Rate,2023,10.75
New Jersey,Government Employment Rate,2023,14.6
New Jersey,Property Tax Rate,2023,2.13
Maryland,Voter Turnout,2022,55.1
Maryland,State Income Tax Rate,2023,5.75
Maryland,Government Employment Rate,2023,15.4
Maryland,Property Tax Rate,2023,1.09
Virginia,Voter Turnout,2022,52.8
Virginia,State Income Tax Rate,2023,5.75
Virginia,Government Employment Rate,2023,15.8
Virginia,Property Tax Rate,2023,0.81
North Carolina,Voter Turnout,2022,51.4
North Carolina,State Income Tax Rate,2023,4.99
North Carolina,Government Employment Rate,2023,14.6
North Carolina,Property Tax Rate,2023,0.84
South Carolina,Voter Turnout,2022,49.3
South Carolina,State Income Tax Rate,2023,7.0
South Carolina,Government Employment Rate,2023,15.1
South Carolina,Property Tax Rate,2023,0.57
Georgia,Voter Turnout,2022,50.7
Georgia,State Income Tax Rate,2023,5.75
Georgia,Government Employment Rate,2023,14.2
Georgia,Property Tax Rate,2023,0.92
West Virginia,Voter Turnout,2022,45.8
West Virginia,State Income Tax Rate,2023,6.5
West Virginia,Government Employment Rate,2023,18.9
West Virginia,Property Tax Rate,2023,0.59
Delaware,Voter Turnout,2022,57.2
Delaware,State Income Tax Rate,2023,6.6
Delaware,Government Employment Rate,2023,15.8
Delaware,Property Tax Rate,2023,0.57
Rhode Island,Voter Turnout,2022,58.9
Rhode Island,State Income Tax Rate,2023,5.99
Rhode Island,Government Employment Rate,2023,16.7
Rhode Island,Property Tax Rate,2023,1.53
Vermont,Voter Turnout,2022,65.8
Vermont,State Income Tax Rate,2023,8.75
Vermont,Government Employment Rate,2023,16.9
Vermont,Property Tax Rate,2023,1.90
New Hampshire,Voter Turnout,2022,56.4
New Hampshire,State Income Tax Rate,2023,0.0
New Hampshire,Government Employment Rate,2023,13.8
New Hampshire,Property Tax Rate,2023,2.05
Maine,Voter Turnout,2022,64.2
Maine,State Income Tax Rate,2023,7.15
Maine,Government Employment Rate,2023,15.6
Maine,Property Tax Rate,2023,1.35
Alaska,Voter Turnout,2022,51.7
Alaska,State Income Tax Rate,2023,0.0
Alaska,Government Employment Rate,2023,23.1
Alaska,Property Tax Rate,2023,1.04
Hawaii,Voter Turnout,2022,52.3
Hawaii,State Income Tax Rate,2023,11.0
Hawaii,Government Employment Rate,2023,19.8
Hawaii,Property Tax Rate,2023,0.31 
