State,Metric,Year,Value
Arizona,Average SAT Score,2023,1078
Arizona,Education Spending Per Pupil,2023,8765
Nevada,High School Graduation Rate,2023,83.2
Nevada,College Attainment Rate,2023,25.5
Nevada,Average SAT Score,2023,1069
Nevada,Education Spending Per Pupil,2023,9234
Washington,High School Graduation Rate,2023,84.2
Washington,College Attainment Rate,2023,36.7
Washington,Average SAT Score,2023,1195
Washington,Education Spending Per Pupil,2023,14567
Oregon,High School Graduation Rate,2023,80.6
Oregon,College Attainment Rate,2023,33.8
Oregon,Average SAT Score,2023,1156
Oregon,Education Spending Per Pupil,2023,12345
Idaho,High School Graduation Rate,2023,81.0
Idaho,College Attainment Rate,2023,27.5
Idaho,Average SAT Score,2023,1201
Idaho,Education Spending Per Pupil,2023,8456
Montana,High School Graduation Rate,2023,86.0
Montana,College Attainment Rate,2023,31.8
Montana,Average SAT Score,2023,1235
Montana,Education Spending Per Pupil,2023,11234
Wyoming,High School Graduation Rate,2023,80.1
Wyoming,College Attainment Rate,2023,27.4
Wyoming,Average SAT Score,2023,1234
Wyoming,Education Spending Per Pupil,2023,16789
North Dakota,High School Graduation Rate,2023,87.7
North Dakota,College Attainment Rate,2023,29.2
North Dakota,Average SAT Score,2023,1276
North Dakota,Education Spending Per Pupil,2023,13456
South Dakota,High School Graduation Rate,2023,83.9
South Dakota,College Attainment Rate,2023,28.8
South Dakota,Average SAT Score,2023,1248
South Dakota,Education Spending Per Pupil,2023,10234 
